City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Takoradi,GH,72.46,clear sky,4.8845,-1.7554,Raybow International Hotel
3,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
4,Cernesti,RO,70.5,overcast clouds,47.5167,23.75,Double-B
5,Atuona,PF,76.8,light rain,-9.8,-139.0333,Villa Enata
7,Saint Anthony,US,77.05,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
9,Gizo,SB,83.34,light rain,-8.103,156.8419,Imagination Island
11,Shingu,JP,82.4,scattered clouds,33.7333,135.9833,Shingu UI Hotel
12,Bubaque,GW,78.33,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
17,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
19,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Valley City,US,73.33,overcast clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
24,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Pangai,TO,77.14,light rain,-19.8,-174.35,Ha'apai Beach Resort
27,Kismayo,SO,74.41,scattered clouds,-0.3582,42.5454,Agan-Hotel
28,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Hilo,US,88.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Hithadhoo,MV,81.5,broken clouds,-0.6,73.0833,Scoop Guest House
32,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
34,Santa Pola,ES,81.5,clear sky,38.1917,-0.5658,Patilla
37,Portland,US,94.8,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
38,Pacific Grove,US,74.88,few clouds,36.6177,-121.9166,Lovers Point Inn
44,Asau,RO,71.96,few clouds,46.4333,26.4,Casa Mika Ciobanus
46,Nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
47,Lorengau,PG,82.76,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Korla,CN,83.3,overcast clouds,41.7597,86.1469,Gulisitan Hotel
54,Diu,IN,80.02,overcast clouds,20.7141,70.9822,Hotel Relax Inn
61,Mandera,KE,74.05,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
64,Tual,ID,80.28,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
70,Bethel,US,87.89,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
72,Marsh Harbour,BS,83.52,clear sky,26.5412,-77.0636,Abaco Beach Resort
75,Bathsheba,BB,81.05,broken clouds,13.2167,-59.5167,Atlantis Hotel
76,Inongo,CD,72.05,overcast clouds,-1.95,18.2667,Hotel Du Lac
77,Seoul,KR,82.0,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
79,Cabo San Lucas,MX,89.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Daru,PG,78.44,overcast clouds,-9.0763,143.2092,Daru Lodge
81,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
84,Jamestown,US,83.84,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
85,Two Rivers,US,87.39,clear sky,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
89,Lazaro Cardenas,MX,80.29,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
90,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
91,Alta Floresta,BR,85.98,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
93,Boa Vista,BR,89.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
100,Chifeng,CN,77.27,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
103,Campbellsville,US,73.72,moderate rain,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
105,Zlobin,HR,74.5,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
108,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
110,Chaman,PK,81.39,few clouds,30.9236,66.4512,Niamat parda Center chaman
111,Norway,US,85.96,scattered clouds,45.7869,-87.9037,Americas Best Value Inn & Suites Norway
114,Ca Mau,VN,76.17,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
115,Zaozerne,UA,75.58,few clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
116,Pafos,CY,80.38,scattered clouds,34.7667,32.4167,Elysium Hotel
121,El Retorno,CO,74.86,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
122,Puerto Madero,MX,86.2,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
128,Pingzhuang,CN,75.67,overcast clouds,42.0372,119.2889,Haoke Guest House
129,Bandarbeyla,SO,76.1,overcast clouds,9.4942,50.8122,JABIR HOTEL
130,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
131,Dingle,PH,75.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
137,Ararat,AM,80.94,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
140,Asbestos,CA,87.76,few clouds,45.7668,-71.9324,Complexe Hotelier Le Williams
143,Wad Rawah,SD,83.8,overcast clouds,15.1603,33.1397,حوش جلي ودراوة
144,Nabisar,PK,86.74,broken clouds,25.0685,69.6419,Dhani Parto Dars
146,Rosetown,CA,71.58,clear sky,51.5501,-108.0014,Travelodge by Wyndham Rosetown
151,Wilmington,US,87.94,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
152,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
153,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
155,Hasaki,JP,79.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
162,Scottsbluff,US,86.77,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
165,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
169,Mawlaik,MM,74.41,moderate rain,23.6333,94.4167,AKZ Guest House
172,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
173,Kota Tinggi,MY,80.64,broken clouds,1.7381,103.8999,Canopy Tribe
175,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
178,Matay,EG,83.55,clear sky,28.419,30.7792,Nag Aespen
179,Zatoka,UA,76.73,few clouds,46.0725,30.4654,Sonyachna
180,Ternate,ID,80.22,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
181,Shenjiamen,CN,82.9,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
185,Pangkalanbuun,ID,71.11,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
186,Kahului,US,93.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
189,Hay River,CA,73.38,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
191,Pedasi,PA,79.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
192,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
193,Smithers,CA,71.92,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
194,Erzin,TR,74.1,clear sky,36.9559,36.2,Artemis Otel
195,Vieste,IT,80.96,clear sky,41.8825,16.175,Hotel Falcone
197,Battle Creek,US,89.96,clear sky,42.3212,-85.1797,Baymont by Wyndham Battle Creek Downtown
203,Arawa,PG,84.88,overcast clouds,-6.2132,155.5367,Coastline Guest House
204,Vila Franca Do Campo,PT,72.01,few clouds,37.7167,-25.4333,Pestana Bahia Praia
205,Pouebo,NC,78.73,scattered clouds,-20.4,164.5667,RIVÂT LODGE
206,Belmonte,BR,72.52,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
208,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
218,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
220,Lompoc,US,85.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
221,Shimoda,JP,76.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
223,Jurilovca,RO,72.03,clear sky,44.7667,28.8667,Suvenir din Dobrogea
224,Samana,DO,82.36,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
234,Tahta,EG,86.54,scattered clouds,26.7693,31.5021,فندق الزيات
236,Bac Lieu,VN,76.89,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
237,Zhuanghe,CN,76.53,moderate rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
238,Villa Corzo,MX,76.95,broken clouds,16.1667,-93.25,Maria Bonita
240,Kati,ML,78.21,overcast clouds,12.7441,-8.0726,Lingot d’or
243,Tongchuan,CN,81.32,broken clouds,35.0806,109.0897,Tongchuan Hotel
244,Sao Joao Da Barra,BR,70.3,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
245,Faanui,PF,78.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Botad,IN,80.53,overcast clouds,22.1667,71.6667,Yogi Guest House
255,Sal Rei,CV,78.22,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
257,Mingguang,CN,83.41,overcast clouds,32.7802,117.9638,Yonghao Hotel
259,Hirado,JP,81.39,moderate rain,33.3597,129.5531,Samson Hotel
263,Katsuura,JP,78.82,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
264,Flin Flon,CA,71.44,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
266,San Quintin,MX,75.4,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
268,Guerrero Negro,MX,78.6,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
269,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
271,Jardim De Piranhas,BR,79.74,few clouds,-6.3786,-37.3519,Jardim de piranhas
274,Bonthe,SL,76.39,light rain,7.5264,-12.505,Bonthe Holiday Village
278,Marawi,PH,70.77,overcast clouds,7.9986,124.2928,Derogongan Residence
280,Bardiyah,LY,79.38,clear sky,31.7561,25.0865,بورتو بردية
