City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ziro,IN,2022-07-31 15:59:04,27.6333,93.8333,60.31,100,100,1.16
1,Busselton,AU,2022-07-31 15:59:05,-33.65,115.3333,57.78,74,86,16.71
2,Georgetown,MY,2022-07-31 15:56:11,5.4112,100.3354,84.13,87,20,0.0
3,Lagunas,PE,2022-07-31 15:59:05,-5.2269,-75.6753,89.89,51,76,2.42
4,Ahipara,NZ,2022-07-31 15:59:06,-35.1667,173.1667,51.12,74,10,9.24
5,Kawalu,ID,2022-07-31 15:59:06,-7.3817,108.2082,71.87,94,57,2.28
6,Thompson,CA,2022-07-31 15:56:44,55.7435,-97.8558,64.56,52,20,8.05
7,Kamakwie,SL,2022-07-31 15:59:07,9.5,-12.2333,80.19,86,80,5.48
8,Saint George,US,2022-07-31 15:59:07,37.1041,-113.5841,80.64,64,90,3.83
9,Esperance,AU,2022-07-31 15:59:08,-33.8667,121.9,52.66,64,52,12.41
10,Ushuaia,AR,2022-07-31 15:56:17,-54.8,-68.3,38.86,81,75,11.5
11,Savannah Bight,HN,2022-07-31 15:59:08,16.45,-85.85,82.96,78,98,19.39
12,Rikitea,PF,2022-07-31 15:59:09,-23.1203,-134.9692,71.94,74,100,17.96
13,Port Alfred,ZA,2022-07-31 15:59:09,-33.5906,26.891,55.18,75,25,4.0
14,Porto Tolle,IT,2022-07-31 15:59:09,44.9497,12.3245,92.03,47,7,11.56
15,Goderich,CA,2022-07-31 15:59:10,43.7501,-81.7165,73.9,69,53,8.16
16,Lasa,IT,2022-07-31 15:59:10,46.6166,10.7002,80.69,53,90,4.0
17,Atuona,PF,2022-07-31 15:59:11,-9.8,-139.0333,75.69,80,25,10.69
18,Taganak,PH,2022-07-31 15:59:12,6.0833,118.3,77.14,74,100,3.47
19,Severo-Kurilsk,RU,2022-07-31 15:59:12,50.6789,156.125,51.85,91,63,10.92
20,Nyurba,RU,2022-07-31 15:59:13,63.2842,118.3319,64.92,77,100,3.15
21,Punta Arenas,CL,2022-07-31 15:58:06,-53.15,-70.9167,41.11,81,75,6.91
22,Bubaque,GW,2022-07-31 15:59:13,11.2833,-15.8333,79.57,79,10,16.26
23,Mitchell,US,2022-07-31 15:59:14,43.7094,-98.0298,94.03,24,4,12.64
24,Shingu,JP,2022-07-31 15:59:14,33.7333,135.9833,77.05,89,62,4.97
25,Avarua,CK,2022-07-31 15:59:14,-21.2078,-159.775,73.45,68,20,11.5
26,New Norfolk,AU,2022-07-31 15:59:15,-42.7826,147.0587,51.3,75,100,1.01
27,Hamilton,US,2022-07-31 15:58:31,39.1834,-84.5333,73.89,88,100,3.44
